batch_index,pair_id,device,amp,image_size,tokenizer_sec,encoder_sec,decoder_sec,reverse_sec,full_sec,cover_l2,cover_psnr,token_mse,reverse_l2
101,000000461009__picasso_self_portrait,cuda,False,256,0.0025185000013152603,0.007227699999930337,0.0003407750009500887,0.012521200002083788,0.022608175004279474,9.567624510964379e-05,40.191959381103516,0.008566359058022499,0.0006844750605523586
102,000000461009__trial,cuda,False,256,0.002215224998508347,0.007194000001618406,0.00034115000016754493,0.012376700000459095,0.022127075000753393,0.00010451488196849823,39.80821990966797,0.008276622742414474,0.0007421525660902262
102,000000461009__woman_with_hat_matisse,cuda,False,256,0.002215224998508347,0.007194000001618406,0.00034115000016754493,0.012376700000459095,0.022127075000753393,0.00010443205246701837,39.81166458129883,0.008472969755530357,0.0005360008217394352
102,000000551350__antimonocromatismo,cuda,False,256,0.002215224998508347,0.007194000001618406,0.00034115000016754493,0.012376700000459095,0.022127075000753393,0.00011734693543985486,39.30528259277344,0.02020433358848095,0.006876498460769653
102,000000551350__impronte_d_artista,cuda,False,256,0.002215224998508347,0.007194000001618406,0.00034115000016754493,0.012376700000459095,0.022127075000753393,0.00012577557936310768,39.00403594970703,0.019891344010829926,0.006841334514319897
103,000000551350__picasso_self_portrait,cuda,False,256,0.002374724997935118,0.007307749998290092,0.00028234999990672804,0.012362025001493748,0.022326849997625686,0.00011325645027682185,39.45936965942383,0.01987069845199585,0.006666059605777264
103,000000551350__trial,cuda,False,256,0.002374724997935118,0.007307749998290092,0.00028234999990672804,0.012362025001493748,0.022326849997625686,0.00012301927199587226,39.10027313232422,0.019811436533927917,0.007077641785144806
103,000000551350__woman_with_hat_matisse,cuda,False,256,0.002374724997935118,0.007307749998290092,0.00028234999990672804,0.012362025001493748,0.022326849997625686,0.00012347527081146836,39.08420181274414,0.0198301300406456,0.0066880127415061
103,000000189213__antimonocromatismo,cuda,False,256,0.002374724997935118,0.007307749998290092,0.00028234999990672804,0.012362025001493748,0.022326849997625686,0.0001038390546455048,39.836395263671875,0.011682233773171902,0.0009251701412722468
104,000000189213__impronte_d_artista,cuda,False,256,0.0023174499983724672,0.007176275001256727,0.0003634000022429973,0.012466750002204208,0.0223238750040764,0.00011125317541882396,39.53688049316406,0.011713802814483643,0.001143674599006772
104,000000189213__picasso_self_portrait,cuda,False,256,0.0023174499983724672,0.007176275001256727,0.0003634000022429973,0.012466750002204208,0.0223238750040764,0.00010416476288810372,39.822792053222656,0.01155941467732191,0.0010098381899297237
